EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-71,Storm,Severe,2016-03-23 13:14:00,2016-03-23 14:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-72,Storm,Severe,2016-03-23 14:54:00,2016-03-23 15:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-73,Storm,Severe,2016-03-23 15:54:00,2016-03-23 16:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-74,Snow,Light,2016-03-26 13:24:00,2016-03-26 15:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-75,Snow,Light,2016-03-26 16:54:00,2016-03-26 18:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-76,Snow,Light,2016-03-26 18:34:00,2016-03-26 19:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-77,Snow,Light,2016-03-26 19:34:00,2016-03-26 23:54:00,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-78,Snow,Light,2016-03-27 04:34:00,2016-03-27 05:54:00,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-79,Snow,Light,2016-03-27 11:14:00,2016-03-27 11:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-80,Snow,Light,2016-03-31 10:34:00,2016-03-31 10:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-81,Fog,Moderate,2016-03-31 22:14:00,2016-03-31 22:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-82,Snow,Light,2016-04-01 00:54:00,2016-04-01 01:34:00,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-83,Rain,Light,2016-04-09 20:55:00,2016-04-09 21:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-84,Rain,Light,2016-04-09 22:55:00,2016-04-10 00:15:00,0.06,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-85,Rain,Light,2016-04-11 06:15:00,2016-04-11 06:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-86,Rain,Light,2016-04-11 21:55:00,2016-04-11 22:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-87,Rain,Light,2016-04-12 03:55:00,2016-04-12 04:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-88,Rain,Light,2016-04-12 23:15:00,2016-04-12 23:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-89,Rain,Light,2016-04-12 23:55:00,2016-04-13 00:55:00,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-90,Rain,Light,2016-04-13 02:35:00,2016-04-13 02:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-91,Rain,Light,2016-04-15 21:55:00,2016-04-15 22:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-92,Rain,Light,2016-04-15 22:55:00,2016-04-15 23:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-93,Fog,Severe,2016-04-15 23:35:00,2016-04-15 23:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-94,Fog,Moderate,2016-04-15 23:55:00,2016-04-16 00:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-95,Rain,Light,2016-04-16 00:55:00,2016-04-16 01:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-96,Rain,Light,2016-04-16 01:55:00,2016-04-16 02:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-97,Rain,Light,2016-04-16 04:15:00,2016-04-16 05:15:00,0.04,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-98,Snow,Moderate,2016-04-16 05:15:00,2016-04-16 05:35:00,0.04,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-99,Rain,Light,2016-04-16 06:55:00,2016-04-16 07:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-100,Rain,Light,2016-04-16 09:15:00,2016-04-16 09:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149

