EventId,Type,Severity,StartTimeUTC,EndTimeUTC,PrecipitationIn,TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
41,Snow,Light,2016-02-01 03:15:00,2016-02-01 03:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
42,Snow,Light,2016-02-01 04:55:00,2016-02-01 05:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
43,Snow,Light,2016-02-01 05:35:00,2016-02-01 07:35:00,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
44,Snow,Light,2016-02-01 08:15:00,2016-02-01 12:35:00,0.11,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
45,Snow,Light,2016-02-01 19:15:00,2016-02-01 19:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
46,Snow,Light,2016-02-01 19:55:00,2016-02-01 20:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
47,Snow,Light,2016-02-02 01:15:00,2016-02-02 01:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
48,Cold,Severe,2016-02-04 13:25:00,2016-02-04 14:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
49,Storm,Severe,2016-02-14 18:56:00,2016-02-14 20:16:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
50,Storm,Severe,2016-02-14 20:36:00,2016-02-14 21:56:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
51,Cold,Severe,2016-02-16 18:36:00,2016-02-16 19:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
52,Rain,Light,2016-02-19 04:34:00,2016-02-19 05:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
53,Snow,Light,2016-02-23 03:54:00,2016-02-23 05:34:00,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
54,Snow,Moderate,2016-02-23 05:34:00,2016-02-23 06:14:00,0.07,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
55,Snow,Light,2016-02-23 06:14:00,2016-02-23 07:14:00,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
56,Snow,Light,2016-03-15 06:14:00,2016-03-15 08:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
57,Snow,Light,2016-03-15 09:14:00,2016-03-15 09:33:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
58,Snow,Light,2016-03-15 12:34:00,2016-03-15 13:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
59,Snow,Light,2016-03-15 14:54:00,2016-03-15 15:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
60,Snow,Light,2016-03-16 07:54:00,2016-03-16 08:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
